model,loan_id,gender,married,dependents,education,self_employed,applicant_income,coapplicant_income,loan_amount,loan_amount_term,credit_history,property_area,loan_status
main.baseuser,1,Male,No,0,Graduate,No,5849,0.0,1.0,360.0,1.0,Urban,Y
main.baseuser,2,Male,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,N
main.baseuser,3,Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,Y
main.baseuser,4,Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,Y
main.baseuser,5,Male,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,Y
main.baseuser,6,Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,Y
main.baseuser,7,Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,Y
main.baseuser,8,Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,N
main.baseuser,9,Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,Y
main.baseuser,10,Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,N
main.baseuser,11,Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,Y
main.baseuser,12,Male,Yes,2,Graduate,No,2500,1840.0,109.0,360.0,1.0,Urban,Y
main.baseuser,13,Male,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,Y
main.baseuser,14,Male,No,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,N
main.baseuser,15,Male,Yes,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,Y
main.baseuser,16,Male,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,Y
main.baseuser,17,Male,No,1,Not Graduate,No,3596,0.0,100.0,240.0,1.0,Urban,Y
main.baseuser,18,Female,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,N
main.baseuser,19,Male,Yes,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,N
main.baseuser,20,Male,Yes,0,Graduate,No,2600,3500.0,115.0,360.0,1.0,Urban,Y
main.baseuser,21,Male,Yes,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,N
main.baseuser,22,Male,Yes,1,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,Y
main.baseuser,23,Male,Yes,0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,N
main.baseuser,24,Male,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,N
main.baseuser,25,Male,Yes,1,Graduate,No,3717,2925.0,151.0,360.0,1.0,Semiurban,N
main.baseuser,26,Male,Yes,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,Y
main.baseuser,27,Male,Yes,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,Y
main.baseuser,28,Male,Yes,2,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,Y
main.baseuser,29,Male,No,0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,N
main.baseuser,30,Female,No,2,Graduate,No,3750,2083.0,120.0,360.0,1.0,Semiurban,Y
main.baseuser,31,Male,Yes,1,Graduate,No,4166,3369.0,201.0,360.0,1.0,Urban,N
main.baseuser,32,Male,No,0,Graduate,No,3167,0.0,74.0,360.0,1.0,Urban,N
main.baseuser,33,Male,No,1,Graduate,Yes,4692,0.0,106.0,360.0,1.0,Rural,N
main.baseuser,34,Male,Yes,0,Graduate,No,3500,1667.0,114.0,360.0,1.0,Semiurban,Y
main.baseuser,35,Male,No,3+,Graduate,No,12500,3000.0,320.0,360.0,1.0,Rural,N
main.baseuser,36,Male,Yes,0,Graduate,No,2275,2067.0,1.0,360.0,1.0,Urban,Y
main.baseuser,37,Male,Yes,0,Graduate,No,1828,1330.0,100.0,360.0,0.0,Urban,N
main.baseuser,38,Female,Yes,0,Graduate,No,3667,1459.0,144.0,360.0,1.0,Semiurban,Y
main.baseuser,39,Male,No,0,Graduate,No,4166,7210.0,184.0,360.0,1.0,Urban,Y
main.baseuser,40,Male,No,0,Not Graduate,No,3748,1668.0,110.0,360.0,1.0,Semiurban,Y
main.baseuser,41,Male,No,0,Graduate,No,3600,0.0,80.0,360.0,1.0,Urban,N
main.baseuser,42,Male,No,0,Graduate,No,1800,1213.0,47.0,360.0,1.0,Urban,Y
main.baseuser,43,Male,Yes,0,Graduate,No,2400,0.0,75.0,360.0,1.0,Urban,Y
main.baseuser,44,Male,Yes,0,Graduate,No,3941,2336.0,134.0,360.0,1.0,Semiurban,Y
main.baseuser,45,Male,Yes,0,Not Graduate,Yes,4695,0.0,96.0,360.0,1.0,Urban,Y
main.baseuser,46,Female,No,0,Graduate,No,3410,0.0,88.0,360.0,1.0,Urban,Y
main.baseuser,47,Male,Yes,1,Graduate,No,5649,0.0,44.0,360.0,1.0,Urban,Y
main.baseuser,48,Male,Yes,0,Graduate,No,5821,0.0,144.0,360.0,1.0,Urban,Y
main.baseuser,49,Female,Yes,0,Graduate,No,2645,3440.0,120.0,360.0,0.0,Urban,N
main.baseuser,50,Female,No,0,Graduate,No,4000,2275.0,144.0,360.0,1.0,Semiurban,Y
main.baseuser,51,Female,Yes,0,Not Graduate,No,1928,1644.0,100.0,360.0,1.0,Semiurban,Y
main.baseuser,52,Female,No,0,Graduate,No,3086,0.0,120.0,360.0,1.0,Semiurban,Y
main.baseuser,53,Female,No,0,Graduate,No,4230,0.0,112.0,360.0,1.0,Semiurban,N
main.baseuser,54,Male,Yes,2,Graduate,No,4616,0.0,134.0,360.0,1.0,Urban,N
main.baseuser,55,Female,Yes,1,Graduate,Yes,11500,0.0,286.0,360.0,0.0,Urban,N
main.baseuser,56,Male,Yes,2,Graduate,No,2708,1167.0,97.0,360.0,1.0,Semiurban,Y
main.baseuser,57,Male,Yes,0,Graduate,No,2132,1591.0,96.0,360.0,1.0,Semiurban,Y
main.baseuser,58,Male,Yes,0,Graduate,No,3366,2200.0,135.0,360.0,1.0,Rural,N
main.baseuser,59,Male,Yes,1,Graduate,No,8080,2250.0,180.0,360.0,1.0,Urban,Y
main.baseuser,60,Male,Yes,2,Not Graduate,No,3357,2859.0,144.0,360.0,1.0,Urban,Y
main.baseuser,61,Male,Yes,0,Graduate,No,2500,3796.0,120.0,360.0,1.0,Urban,Y
main.baseuser,62,Male,Yes,3+,Graduate,No,3029,0.0,99.0,360.0,1.0,Urban,Y
main.baseuser,63,Male,Yes,0,Not Graduate,Yes,2609,3449.0,165.0,180.0,0.0,Rural,N
main.baseuser,64,Male,Yes,1,Graduate,No,4945,0.0,1.0,360.0,0.0,Rural,N
main.baseuser,65,Female,No,0,Graduate,No,4166,0.0,116.0,360.0,0.0,Semiurban,N
main.baseuser,66,Male,Yes,0,Graduate,No,5726,4595.0,258.0,360.0,1.0,Semiurban,N
main.baseuser,67,Male,No,0,Not Graduate,No,3200,2254.0,126.0,180.0,0.0,Urban,N
main.baseuser,68,Male,Yes,1,Graduate,No,10750,0.0,312.0,360.0,1.0,Urban,Y
main.baseuser,69,Male,Yes,3+,Not Graduate,Yes,7100,0.0,125.0,60.0,1.0,Urban,Y
main.baseuser,70,Female,No,0,Graduate,No,4300,0.0,136.0,360.0,0.0,Semiurban,N
main.baseuser,71,Male,Yes,0,Graduate,No,3208,3066.0,172.0,360.0,1.0,Urban,Y
main.baseuser,72,Male,Yes,2,Not Graduate,Yes,1875,1875.0,97.0,360.0,1.0,Semiurban,Y
main.baseuser,73,Male,No,0,Graduate,No,3500,0.0,81.0,300.0,1.0,Semiurban,Y
main.baseuser,74,Male,Yes,3+,Not Graduate,No,4755,0.0,95.0,360.0,0.0,Semiurban,N
main.baseuser,75,Male,Yes,3+,Graduate,Yes,5266,1774.0,187.0,360.0,1.0,Semiurban,Y
main.baseuser,76,Male,No,0,Graduate,No,3750,0.0,113.0,480.0,1.0,Urban,N
main.baseuser,77,Male,No,0,Graduate,No,3750,4750.0,176.0,360.0,1.0,Urban,N
main.baseuser,78,Male,Yes,1,Graduate,Yes,1000,3022.0,110.0,360.0,1.0,Urban,N
main.baseuser,79,Male,Yes,3+,Graduate,No,3167,4000.0,180.0,300.0,0.0,Semiurban,N
main.baseuser,80,Male,Yes,3+,Not Graduate,Yes,3333,2166.0,130.0,360.0,1.0,Semiurban,Y
main.baseuser,81,Female,No,0,Graduate,No,3846,0.0,111.0,360.0,1.0,Semiurban,Y
main.baseuser,82,Male,Yes,1,Graduate,Yes,2395,0.0,1.0,360.0,1.0,Semiurban,Y
main.baseuser,83,Female,Yes,2,Graduate,No,1378,1881.0,167.0,360.0,1.0,Urban,N
main.baseuser,84,Male,Yes,0,Graduate,No,6000,2250.0,265.0,360.0,1.0,Semiurban,N
main.baseuser,85,Male,Yes,1,Graduate,No,3988,0.0,50.0,240.0,1.0,Urban,Y
main.baseuser,86,Male,No,0,Graduate,No,2366,2531.0,136.0,360.0,1.0,Semiurban,Y
main.baseuser,87,Male,Yes,2,Not Graduate,No,3333,2000.0,99.0,360.0,1.0,Semiurban,Y
main.baseuser,88,Male,Yes,0,Graduate,No,2500,2118.0,104.0,360.0,1.0,Semiurban,Y
main.baseuser,89,Male,No,0,Graduate,No,8566,0.0,210.0,360.0,1.0,Urban,Y
main.baseuser,90,Male,Yes,0,Graduate,No,5695,4167.0,175.0,360.0,1.0,Semiurban,Y
main.baseuser,91,Male,Yes,0,Graduate,No,2958,2900.0,131.0,360.0,1.0,Semiurban,Y
main.baseuser,92,Male,Yes,2,Graduate,No,6250,5654.0,188.0,180.0,1.0,Semiurban,Y
main.baseuser,93,Male,Yes,2,Not Graduate,No,3273,1820.0,81.0,360.0,1.0,Urban,Y
main.baseuser,94,Male,No,0,Graduate,No,4133,0.0,122.0,360.0,1.0,Semiurban,Y
main.baseuser,95,Male,No,0,Not Graduate,No,3620,0.0,25.0,120.0,1.0,Semiurban,Y
main.baseuser,96,Male,No,0,Graduate,No,6782,0.0,1.0,360.0,1.0,Urban,N
main.baseuser,97,Female,Yes,0,Graduate,No,2484,2302.0,137.0,360.0,1.0,Semiurban,Y
main.baseuser,98,Male,Yes,0,Graduate,No,1977,997.0,50.0,360.0,1.0,Semiurban,Y
main.baseuser,99,Male,Yes,0,Not Graduate,No,4188,0.0,115.0,180.0,1.0,Semiurban,Y
main.baseuser,100,Male,Yes,0,Graduate,No,1759,3541.0,131.0,360.0,1.0,Semiurban,Y
main.baseuser,101,Male,Yes,2,Not Graduate,No,4288,3263.0,133.0,180.0,1.0,Urban,Y
main.baseuser,102,Male,No,0,Graduate,No,4843,3806.0,151.0,360.0,1.0,Semiurban,Y
main.baseuser,103,Male,Yes,1,Graduate,No,13650,0.0,1.0,360.0,1.0,Urban,Y
main.baseuser,104,Male,Yes,0,Graduate,No,4652,3583.0,1.0,360.0,1.0,Semiurban,Y
main.baseuser,105,Male,Yes,1,Graduate,No,3816,754.0,160.0,360.0,1.0,Urban,Y
main.baseuser,106,Male,Yes,1,Graduate,No,3052,1030.0,100.0,360.0,1.0,Urban,Y
main.baseuser,107,Male,Yes,2,Graduate,No,11417,1126.0,225.0,360.0,1.0,Urban,Y
main.baseuser,108,Male,No,0,Not Graduate,No,7333,0.0,120.0,360.0,1.0,Rural,N
main.baseuser,109,Male,Yes,2,Graduate,No,3800,3600.0,216.0,360.0,0.0,Urban,N
main.baseuser,110,Male,Yes,3+,Not Graduate,No,2071,754.0,94.0,480.0,1.0,Semiurban,Y
main.baseuser,111,Male,No,0,Graduate,No,5316,0.0,136.0,360.0,1.0,Urban,Y
main.baseuser,112,Female,Yes,0,Graduate,No,2929,2333.0,139.0,360.0,1.0,Semiurban,Y
main.baseuser,113,Male,Yes,0,Not Graduate,No,3572,4114.0,152.0,360.0,0.0,Rural,N
main.baseuser,114,Female,No,1,Graduate,Yes,7451,0.0,1.0,360.0,1.0,Semiurban,Y
main.baseuser,115,Male,No,0,Graduate,No,5050,0.0,118.0,360.0,1.0,Semiurban,Y
main.baseuser,116,Male,Yes,1,Graduate,No,14583,0.0,185.0,180.0,1.0,Rural,Y
main.baseuser,117,Female,Yes,0,Graduate,No,3167,2283.0,154.0,360.0,1.0,Semiurban,Y
main.baseuser,118,Male,Yes,1,Graduate,No,2214,1398.0,85.0,360.0,1.0,Urban,Y
main.baseuser,119,Male,Yes,0,Graduate,No,5568,2142.0,175.0,360.0,1.0,Rural,N
main.baseuser,120,Female,No,0,Graduate,No,10408,0.0,259.0,360.0,1.0,Urban,Y
main.baseuser,121,Male,Yes,1,Graduate,No,5667,2667.0,180.0,360.0,1.0,Rural,Y
main.baseuser,122,Female,No,0,Graduate,No,4166,0.0,44.0,360.0,1.0,Semiurban,Y
main.baseuser,123,Female,No,0,Graduate,No,2137,8980.0,137.0,360.0,0.0,Semiurban,Y
main.baseuser,124,Male,Yes,2,Graduate,No,2957,0.0,81.0,360.0,1.0,Semiurban,Y
main.baseuser,125,Male,Yes,0,Not Graduate,No,4300,2014.0,194.0,360.0,1.0,Rural,Y
main.baseuser,126,Female,No,0,Graduate,No,3692,0.0,93.0,360.0,1.0,Rural,Y
main.baseuser,127,Male,Yes,3+,Graduate,No,23803,0.0,370.0,360.0,1.0,Rural,Y
main.baseuser,128,Male,No,0,Graduate,No,3865,1640.0,1.0,360.0,1.0,Rural,Y
main.baseuser,129,Male,Yes,1,Graduate,Yes,10513,3850.0,160.0,180.0,0.0,Urban,N
main.baseuser,130,Male,Yes,0,Graduate,No,6080,2569.0,182.0,360.0,1.0,Rural,N
main.baseuser,131,Male,No,0,Graduate,Yes,20166,0.0,650.0,480.0,1.0,Urban,Y
main.baseuser,132,Male,No,0,Graduate,No,2014,1929.0,74.0,360.0,1.0,Urban,Y
main.baseuser,133,Male,No,0,Graduate,No,2718,0.0,70.0,360.0,1.0,Semiurban,Y
main.baseuser,134,Male,Yes,0,Graduate,Yes,3459,0.0,25.0,120.0,1.0,Semiurban,Y
main.baseuser,135,Male,No,0,Graduate,No,4895,0.0,102.0,360.0,1.0,Semiurban,Y
main.baseuser,136,Male,Yes,3+,Graduate,No,4000,7750.0,290.0,360.0,1.0,Semiurban,N
main.baseuser,137,Female,Yes,0,Graduate,No,4583,0.0,84.0,360.0,1.0,Rural,N
main.baseuser,138,Male,Yes,2,Graduate,Yes,3316,3500.0,88.0,360.0,1.0,Urban,Y
main.baseuser,139,Male,No,0,Graduate,No,14999,0.0,242.0,360.0,0.0,Semiurban,N
main.baseuser,140,Male,Yes,2,Not Graduate,No,4200,1430.0,129.0,360.0,1.0,Rural,N
main.baseuser,141,Male,Yes,2,Graduate,No,5042,2083.0,185.0,360.0,1.0,Rural,N
main.baseuser,142,Male,No,0,Graduate,No,5417,0.0,168.0,360.0,1.0,Urban,Y
main.baseuser,143,Male,No,0,Graduate,Yes,6950,0.0,175.0,180.0,1.0,Semiurban,Y
main.baseuser,144,Male,Yes,0,Graduate,No,2698,2034.0,122.0,360.0,1.0,Semiurban,Y
main.baseuser,145,Male,Yes,2,Graduate,No,11757,0.0,187.0,180.0,1.0,Urban,Y
main.baseuser,146,Female,Yes,0,Graduate,No,2330,4486.0,100.0,360.0,1.0,Semiurban,Y
main.baseuser,147,Female,Yes,2,Graduate,No,14866,0.0,70.0,360.0,1.0,Urban,Y
main.baseuser,148,Male,Yes,1,Graduate,No,1538,1425.0,30.0,360.0,1.0,Urban,Y
main.baseuser,149,Female,No,0,Graduate,No,10000,1666.0,225.0,360.0,1.0,Rural,N
main.baseuser,150,Male,Yes,0,Graduate,No,4860,830.0,125.0,360.0,1.0,Semiurban,Y
main.baseuser,151,Male,No,0,Graduate,No,6277,0.0,118.0,360.0,0.0,Rural,N
main.baseuser,152,Male,Yes,0,Graduate,Yes,2577,3750.0,152.0,360.0,1.0,Rural,Y
main.baseuser,153,Male,No,0,Graduate,No,9166,0.0,244.0,360.0,1.0,Urban,N
main.baseuser,154,Male,Yes,2,Not Graduate,No,2281,0.0,113.0,360.0,1.0,Rural,N
main.baseuser,155,Male,No,0,Graduate,No,3254,0.0,50.0,360.0,1.0,Urban,Y
main.baseuser,156,Male,Yes,3+,Graduate,No,39999,0.0,600.0,180.0,0.0,Semiurban,Y
main.baseuser,157,Male,Yes,1,Graduate,No,6000,0.0,160.0,360.0,1.0,Rural,Y
main.baseuser,158,Male,Yes,1,Graduate,No,9538,0.0,187.0,360.0,1.0,Urban,Y
main.baseuser,159,Male,No,0,Graduate,No,2980,2083.0,120.0,360.0,1.0,Rural,Y
main.baseuser,160,Male,Yes,0,Graduate,No,4583,5625.0,255.0,360.0,1.0,Semiurban,Y
main.baseuser,161,Male,Yes,0,Not Graduate,No,1863,1041.0,98.0,360.0,1.0,Semiurban,Y
main.baseuser,162,Male,Yes,0,Graduate,No,7933,0.0,275.0,360.0,1.0,Urban,N
main.baseuser,163,Male,Yes,1,Graduate,No,3089,1280.0,121.0,360.0,0.0,Semiurban,N
main.baseuser,164,Male,Yes,2,Graduate,No,4167,1447.0,158.0,360.0,1.0,Rural,Y
main.baseuser,165,Male,Yes,0,Graduate,No,9323,0.0,75.0,180.0,1.0,Urban,Y
main.baseuser,166,Male,Yes,0,Graduate,No,3707,3166.0,182.0,360.0,1.0,Rural,Y
main.baseuser,167,Female,Yes,0,Graduate,No,4583,0.0,112.0,360.0,1.0,Rural,N
main.baseuser,168,Male,Yes,0,Graduate,No,2439,3333.0,129.0,360.0,1.0,Rural,Y
main.baseuser,169,Male,No,0,Graduate,No,2237,0.0,63.0,480.0,0.0,Semiurban,N
main.baseuser,170,Male,Yes,2,Graduate,No,8000,0.0,200.0,360.0,1.0,Semiurban,Y
main.baseuser,171,Male,Yes,0,Not Graduate,No,1820,1769.0,95.0,360.0,1.0,Rural,Y
main.baseuser,172,Male,Yes,3+,Graduate,No,51763,0.0,700.0,300.0,1.0,Urban,Y
main.baseuser,173,Male,Yes,3+,Not Graduate,No,3522,0.0,81.0,180.0,1.0,Rural,N
main.baseuser,174,Male,Yes,0,Graduate,No,5708,5625.0,187.0,360.0,1.0,Semiurban,Y
main.baseuser,175,Male,Yes,0,Not Graduate,Yes,4344,736.0,87.0,360.0,1.0,Semiurban,N
main.baseuser,176,Male,Yes,0,Graduate,No,3497,1964.0,116.0,360.0,1.0,Rural,Y
main.baseuser,177,Male,Yes,2,Graduate,No,2045,1619.0,101.0,360.0,1.0,Rural,Y
main.baseuser,178,Male,Yes,3+,Graduate,No,5516,11300.0,495.0,360.0,0.0,Semiurban,N
main.baseuser,179,Male,Yes,1,Graduate,No,3750,0.0,116.0,360.0,1.0,Semiurban,Y
main.baseuser,180,Male,No,0,Not Graduate,No,2333,1451.0,102.0,480.0,0.0,Urban,N
main.baseuser,181,Male,Yes,1,Graduate,No,6400,7250.0,180.0,360.0,0.0,Urban,N
main.baseuser,182,Male,No,0,Graduate,No,1916,5063.0,67.0,360.0,1.0,Rural,N
main.baseuser,183,Male,Yes,0,Graduate,No,4600,0.0,73.0,180.0,1.0,Semiurban,Y
main.baseuser,184,Male,Yes,1,Graduate,No,33846,0.0,260.0,360.0,1.0,Semiurban,N
main.baseuser,185,Female,Yes,0,Graduate,No,3625,0.0,108.0,360.0,1.0,Semiurban,Y
main.baseuser,186,Male,Yes,0,Graduate,Yes,39147,4750.0,120.0,360.0,1.0,Semiurban,Y
main.baseuser,187,Male,Yes,1,Graduate,Yes,2178,0.0,66.0,300.0,0.0,Rural,N
main.baseuser,188,Male,Yes,0,Graduate,No,2383,2138.0,58.0,360.0,1.0,Rural,Y
main.baseuser,189,Male,Yes,0,Graduate,Yes,674,5296.0,168.0,360.0,1.0,Rural,Y
main.baseuser,190,Male,Yes,0,Graduate,No,9328,0.0,188.0,180.0,1.0,Rural,Y
main.baseuser,191,Male,No,0,Not Graduate,No,4885,0.0,48.0,360.0,1.0,Rural,Y
main.baseuser,192,Male,No,0,Graduate,No,12000,0.0,164.0,360.0,1.0,Semiurban,N
main.baseuser,193,Male,Yes,0,Not Graduate,No,6033,0.0,160.0,360.0,1.0,Urban,N
main.baseuser,194,Male,No,0,Graduate,No,3858,0.0,76.0,360.0,1.0,Semiurban,Y
main.baseuser,195,Male,No,0,Graduate,No,4191,0.0,120.0,360.0,1.0,Rural,Y
main.baseuser,196,Male,Yes,1,Graduate,No,3125,2583.0,170.0,360.0,1.0,Semiurban,N
main.baseuser,197,Male,No,0,Graduate,No,8333,3750.0,187.0,360.0,1.0,Rural,Y
main.baseuser,198,Female,No,0,Not Graduate,No,1907,2365.0,120.0,360.0,1.0,Urban,Y
main.baseuser,199,Female,Yes,0,Graduate,No,3416,2816.0,113.0,360.0,1.0,Semiurban,Y
main.baseuser,200,Male,No,0,Graduate,Yes,11000,0.0,83.0,360.0,1.0,Urban,N
main.baseuser,201,Male,Yes,1,Not Graduate,No,2600,2500.0,90.0,360.0,1.0,Semiurban,Y
main.baseuser,202,Male,No,2,Graduate,No,4923,0.0,166.0,360.0,0.0,Semiurban,Y
main.baseuser,203,Male,Yes,3+,Not Graduate,No,3992,0.0,1.0,180.0,1.0,Urban,N
main.baseuser,204,Male,Yes,1,Not Graduate,No,3500,1083.0,135.0,360.0,1.0,Urban,Y
